Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
mgtA	BW25113_RS22030	4457442	4460138	Mg<sup>2+</sup> importing P-type ATPase
matA	BW25113_RS01510	306457	306999	DNA-binding transcriptional dual regulator MatA
setB	BW25113_RS11325	2257342	2258523	sugar exporter SetB
bcp	BW25113_RS12940	2593837	2594307	thiol peroxidase
RS25705	BW25113_RS25705	2776997	2778370	DUF5507 domain-containing protein
deoD	BW25113_RS22835	4610700	4611419	purine nucleoside phosphorylase
ytfI	BW25113_RS21900	4427524	4428462	protein YtfI
ydfG	BW25113_RS08070	1621774	1622520	3-hydroxy acid dehydrogenase YdfG
ygeW	BW25113_RS14925	2999624	3000811	putative carbamoyltransferase YgeW
yehS	BW25113_RS11080	2205205	2205675	DUF1456 domain-containing protein YehS
pspB	BW25113_RS06840	1363058	1363282	phage shock protein B
envY	BW25113_RS02935	581603	582364	DNA-binding transcriptional activator EnvY
rluD	BW25113_RS13550	2728390	2729370	23S rRNA pseudouridine<sup>1911/1915/1917</sup> synthase
yhaH	BW25113_RS16115	3245663	3246028	putative inner membrane protein
secY	BW25113_RS17110	3436125	3437456	Sec translocon subunit SecY
allS	BW25113_RS02595	526751	527677	DNA-binding transcriptional activator AllS
ygdG	BW25113_RS14555	2924414	2925169	flap endonuclease
pfkA	BW25113_RS20320	4097480	4098442	6-phosphofructokinase 1
malE	BW25113_RS20940	4235157	4236347	maltose ABC transporter periplasmic binding protein
thrL	BW25113_RS00005	190	255	<i>thr</i> operon leader peptide
ettA	BW25113_RS22875	4618672	4620339	energy-dependent translational throttle protein EttA
rlmJ	BW25113_RS18120	3638745	3639587	23S rRNA m<sup>6</sup>A2030 methyltransferase
ygjV	BW25113_RS16050	3234552	3235103	inner membrane protein
hofC	BW25113_RS00525	111009	112211	inner membrane protein HofC
ybdO	BW25113_RS03140	632172	633074	DNA-binding transcriptional repressor CitR
yghU	BW25113_RS15525	3132086	3132952	disulfide reductase / organic hydroperoxide reductase
ymiC	BW25113_RS25560	1329829	1329924	protein YmiC
malK	BW25113_RS20950	4236712	4237827	maltose ABC transporter ATP binding subunit
stfR	BW25113_RS23745	1423306	1426668	Rac prophage; putative prophage side tail fiber protein StfR
ssnA	BW25113_RS14970	3012520	3013848	putative aminohydrolase SsnA
ybbC	BW25113_RS02570	523037	523405	PF15631 family protein YbbC
ldtB	BW25113_RS04255	850280	851200	L,D-transpeptidase LdtB
yfeO	BW25113_RS12465	2503109	2504365	ion channel protein
ybiJ	BW25113_RS04165	833121	833381	DUF1471 domain-containing protein YbiJ
gloA	BW25113_RS08640	1722094	1722501	lactoylglutathione lyase
ymfH	BW25113_RS25530	1196525	1196836	e14 prophage; putative protein YmfH
ydhP	BW25113_RS08670	1730378	1731547	putative transporter YdhP
cysB	BW25113_RS06650	1328112	1329086	DNA-binding transcriptional dual regulator CysB
thiF	BW25113_RS20715	4182749	4183504	sulfur carrier protein ThiS adenylyltransferase
lpxA	BW25113_RS00905	199047	199835	acyl-[acyl-carrier-protein]&mdash;UDP-<i>N</i>-acetylglucosamine <i>O</i>-acyltransferase
ybhQ	BW25113_RS04110	820086	820496	inner membrane protein YbhQ
pheP	BW25113_RS02985	597415	598791	phenylalanine:H+ symporter PheP
edd	BW25113_RS09705	1927050	1928861	phosphogluconate dehydratase
ydfW	BW25113_RS23105	1641431	1641580	Qin prophage; protein YdfW
rutB	BW25113_RS05260	1067627	1068319	ureidoacrylate amidohydrolase
casD	BW25113_RS14345	2873733	2874407	type I-E CRISPR system Cascade subunit CasD
yjaA	BW25113_RS20810	4203162	4203545	stress response protein
elaB	BW25113_RS11840	2374201	2374506	tail-anchored inner membrane protein ElaB
aas	BW25113_RS14755	2967214	2969373	fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase
uraA	BW25113_RS13025	2612230	2613519	uracil:H<sup>+</sup> symporter UraA
gshB	BW25113_RS15305	3085237	3086187	glutathione synthetase
yfeY	BW25113_RS12685	2544000	2544575	DUF1131 domain-containing lipoprotein YfeY
basS	BW25113_RS21355	4321998	4323098	sensor histidine kinase BasS
fic	BW25113_RS17425	3484220	3484822	putative adenosine monophosphate&mdash;protein transferase Fic
ompC	BW25113_RS02855	571214	572281	porin
ycfJ	BW25113_RS05775	1163055	1163594	PF05433 family protein YcfJ
cca	BW25113_RS15875	3195250	3196488	fused CCA tRNA nucleotidyltransferase/phosphohydrolase
yceB	BW25113_RS05540	1118169	1118729	putative lipid-binding lipoprotein YceB
ldtE	BW25113_RS08780	1751978	1752982	L,D-transpeptidase LdtE
ghoT	BW25113_RS21450	4342725	4342898	toxin of the GhoTS toxin-antitoxin system
yggR	BW25113_RS15320	3087459	3088439	Type II/IV secretion system family protein
pxpA	BW25113_RS03690	740621	741355	5-oxoprolinase component A
cmtB	BW25113_RS15240	3072246	3072689	mannitol-specific PTS enzyme IIA component CmtB
bax	BW25113_RS18530	3729713	3730537	putative glycoside hydrolase Bax
RS14010	BW25113_RS14010	2811418	2811494	tRNA-Arg
RS06340	BW25113_RS06340	1265694	1265801	small toxic polypeptide LdrA/LdrC
evgA	BW25113_RS12360	2477234	2477848	DNA-binding transcriptional activator EvgA
parE	BW25113_RS15725	3166863	3168755	DNA topoisomerase IV subunit B
ycjU	BW25113_RS06900	1374405	1375064	&beta;-phosphoglucomutase
ybfE	BW25113_RS03540	707061	707354	ribbon-helix-helix domain-containing protein YbfE
epd	BW25113_RS15210	3066031	3067050	D-erythrose-4-phosphate dehydrogenase
ybgQ	BW25113_RS03715	745178	747634	putative fimbrial usher protein YbgQ
RS07175	BW25113_RS07175	1421646	1421861	Ail/Lom family outer membrane beta-barrel protein
eutL	BW25113_RS12720	2549100	2549759	putative structural protein, ethanolamine utilization microcompartment
agaB	BW25113_RS16270	3277529	3278005	galactosamine-specific PTS enzyme IIB component
ychQ	BW25113_RS06315	1262380	1262772	SirB family protein YchQ
upp	BW25113_RS13030	2613605	2614231	uracil phosphoribosyltransferase
kdsB	BW25113_RS04760	966308	967054	3-deoxy-<i>manno</i>-octulosonate cytidylyltransferase
ugpQ	BW25113_RS17850	3580730	3581473	glycerophosphodiester phosphodiesterase UgpQ
napA	BW25113_RS11510	2293746	2296232	periplasmic nitrate reductase subunit NapA
galS	BW25113_RS11220	2234107	2235147	DNA-binding transcriptional dual regulator GalS
rsuA	BW25113_RS11395	2273267	2273962	16S rRNA pseudouridine<sup>516</sup> synthase
cpsB	BW25113_RS10700	2116565	2118001	mannose-1-phosphate guanylyltransferase
ynjC	BW25113_RS09180	1831469	1833004	putative ABC transporter membrane subunit YnjC
aegA	BW25113_RS12865	2576905	2578884	putative oxidoreductase AegA
yncO	BW25113_RS25600	1524576	1524761	protein YncO
ung	BW25113_RS13470	2710113	2710802	uracil-DNA glycosylase
fucU	BW25113_RS14585	2932247	2932669	L-fucose mutarotase
yqiK	BW25113_RS15835	3186223	3187884	flotillin family inner membrane protein YqiK
gspH	BW25113_RS17255	3454827	3455336	type II secretion system minor pseudopilin GspH
ampC	BW25113_RS21570	4367628	4368761	&beta;-lactamase
mhpT	BW25113_RS01825	370915	372126	3-hydroxyphenylpropionate/3-hydroxycinnamate:H<sup>+</sup> symporter
ompW	BW25113_RS06550	1308277	1308915	outer membrane protein W
ygaC	BW25113_RS13905	2793009	2793353	DUF2002 domain-containing protein YgaC
sfmH	BW25113_RS02735	557735	558775	putative fimbrial adhesin protein SfmH
zapG	BW25113_RS16760	3373550	3373948	Z-ring associated protein G
sodC	BW25113_RS08615	1718391	1718912	superoxide dismutase (Cu-Zn)
ygjR	BW25113_RS16035	3230670	3231656	putative oxidoreductase YgjR
mprA	BW25113_RS13965	2804129	2804659	DNA-binding transcriptional regulator MprA
ftsE	BW25113_RS17930	3595439	3596107	cell division protein FtsE
ddpD	BW25113_RS07780	1552288	1553274	putative D,D-dipeptide ABC transporter ATP-binding subunit DdpD
ybiW	BW25113_RS04275	855630	858062	putative pyruvate formate lyase
nanC	BW25113_RS22415	4528602	4529318	<i>N</i>-acetylneuraminate outer membrane channel
nadK	BW25113_RS13650	2744190	2745068	NAD kinase
RS11725	BW25113_RS11725	2351283	2351480	hypothetical protein
acrR	BW25113_RS02395	481217	481864	DNA-binding transcriptional repressor AcrR
RS02785	BW25113_RS02785	563491	563703	protein ren
umuC	BW25113_RS06165	1226642	1227910	DNA polymerase V catalytic protein
yhdY	BW25113_RS16960	3414684	3415787	putative ABC transporter membrane subunit YhdY
proB	BW25113_RS01225	256099	257202	glutamate 5-kinase
hybB	BW25113_RS15555	3136345	3137523	hydrogenase 2 membrane subunit
ykgH	BW25113_RS01595	320407	321075	uncharacterized protein YkgH
dgcN	BW25113_RS13595	2735742	2736968	diguanylate cyclase DgcN
phnE	BW25113_RS21310	4312260	4313047	phosphonate ABC transporter, permease protein PhnE
afuC	BW25113_RS01340	273467	274513	CP4-6 prophage; ABC transporter ATP-binding protein AfuC
nikC	BW25113_RS18005	3609542	3610375	nickel ABC transporter membrane subunit NikC
ygbL	BW25113_RS14250	2856952	2857590	putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL
atoE	BW25113_RS11610	2318235	2319557	short chain fatty acid transporter
galK	BW25113_RS03930	784287	785435	galactokinase
ghxP	BW25113_RS21105	4268407	4269756	guanine/hypoxanthine transporter GhxP
mdlA	BW25113_RS02320	464327	466099	ABC transporter family protein MdlA
lspA	BW25113_RS00130	25207	25701	lipoprotein signal peptidase
cheA	BW25113_RS09895	1967617	1969581	chemotaxis protein CheA
wcaE	BW25113_RS10730	2122385	2123131	GDP-Fuc:2/3-O-Ac-alpha-L-Fuc-(1->3)-alpha-D-Glc-PP-Und alpha-(1,4)-fucosyltransferase
sgcA	BW25113_RS22350	4517366	4517797	putative PTS enzyme IIA component SgcA
ybgQ	BW25113_RS15810	3180759	3183224	putative fimbrial usher protein YbgQ
ves	BW25113_RS09115	1818619	1819194	HutD family protein Ves
RS05370	BW25113_RS05370	1093021	1093108	tRNA-Ser
rlpA	BW25113_RS03290	659558	660646	endolytic peptidoglycan transglycosylase RlpA
cysM	BW25113_RS12630	2532031	2532942	cysteine synthase B
kdpB	BW25113_RS03605	720444	722492	K<sup>+</sup> transporting P-type ATPase subunit KdpB
mntH	BW25113_RS12480	2504947	2506185	Mn<sup>2+</sup> : H<sup>+</sup> symporter
ibpA	BW25113_RS19165	3860369	3860782	small heat shock protein IbpA
clsB	BW25113_RS04100	817954	819195	cardiolipin synthase B
letA	BW25113_RS09605	1910515	1911798	intermembrane transport protein LetA
clsA	BW25113_RS06510	1301442	1302902	cardiolipin synthase A
prfA	BW25113_RS06305	1260468	1261550	peptide chain release factor RF1
putP	BW25113_RS05285	1074761	1076269	proline:Na<sup>+</sup> symporter
ybhA	BW25113_RS03980	793069	793887	pyridoxal phosphate/fructose-1,6-bisphosphate phosphatase
ygcR	BW25113_RS14410	2889135	2889914	putative flavoprotein
purB	BW25113_RS05885	1186072	1187442	adenylosuccinate lyase
rutG	BW25113_RS05235	1063967	1065295	pyrimidine:H<sup>+</sup> symporter
rhaR	BW25113_RS20270	4088574	4089422	DNA-binding transcriptional activator RhaR
uidC	BW25113_RS08450	1685843	1687108	glucuronide uptake porin UidC
dnaN	BW25113_RS19240	3874581	3875681	&beta; sliding clamp
yjgA	BW25113_RS21990	4447131	4447682	putative ribosome biogenesis factor YjgA
cspH	BW25113_RS05140	1046419	1046631	CspA family protein CspH
yeeA	BW25113_RS10495	2073014	2074072	putative transporter YeeA
RS06950	BW25113_RS06950	1384982	1385119	NAD-dependent dehydratase
ygfX	BW25113_RS15060	3033775	3034182	protein YgfX
narX	BW25113_RS06375	1271278	1273074	sensor histidine kinase NarX
ypfJ	BW25113_RS12910	2589233	2590096	uncharacterized protein YpfJ
yeiL	BW25113_RS11290	2248795	2249493	DNA-binding transcriptional activator YeiL
RS03450	BW25113_RS03450	692120	692196	tRNA-Met
ytfH	BW25113_RS21885	4423930	4424310	putative transcriptional regulator YtfH
ydcJ	BW25113_RS07465	1489545	1490888	DUF1338 domain-containing protein YdcJ
dppF	BW25113_RS18360	3695224	3696228	dipeptide ABC transporter ATP binding subunit DppF
mlc	BW25113_RS08340	1661601	1662821	DNA-binding transcriptional repressor Mlc
kdpA	BW25113_RS03610	722515	724188	K<sup>+</sup> transporting P-type ATPase subunit KdpA
bdcA	BW25113_RS22065	4463157	4463870	c-di-GMP-binding biofilm dispersal mediator protein
polA	BW25113_RS20045	4040326	4043112	DNA polymerase I
yfdQ	BW25113_RS12310	2467511	2468335	CPS-53 (KpLE1) prophage; DUF2303 domain-containing protein YfdQ
serA	BW25113_RS15140	3050537	3051769	phosphoglycerate dehydrogenase
glf	BW25113_RS10635	2100707	2101810	UDP-galactopyranose mutase
yifL	BW25113_RS19775	3987882	3988085	LptD oxidative maturation-associated lipoprotein
ttcA	BW25113_RS07060	1405270	1406205	tRNA cytosine<sup>32</sup> 2-sulfurtransferase TtcA
mepA	BW25113_RS12155	2439039	2439863	peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase
yihO	BW25113_RS20115	4057723	4059126	putative sulfoquinovose transporter
RS25845	BW25113_RS25845	4558815	4559735	Rpn family recombination-promoting nuclease/putative transposase
puuC	BW25113_RS06815	1357000	1358487	&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase
yafE	BW25113_RS01055	228440	229036	methyltransferase domain-containing protein
tdcA	BW25113_RS16180	3259486	3260424	DNA-binding transcriptional activator TdcA
ydeM	BW25113_RS07850	1573890	1575047	putative anaerobic sulfatase maturation enzyme YdeM
dtpC	BW25113_RS21460	4344771	4346228	dipeptide/tripeptide:H<sup>+</sup> symporter DtpC
fdhF	BW25113_RS21180	4287036	4289183	formate dehydrogenase H
RS08715	BW25113_RS08715	1740692	1740768	tRNA-Val
aidB	BW25113_RS21755	4404092	4405717	isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor
glpG	BW25113_RS17735	3553982	3554812	rhomboid protease GlpG
RS01025	BW25113_RS01025	222246	225149	23S ribosomal RNA
yciF	BW25113_RS06560	1309527	1310027	DUF892 domain-containing protein YciF
yqjA	BW25113_RS16075	3241132	3241794	DedA family protein YqjA
ydiH	BW25113_RS08815	1759191	1759379	uncharacterized protein YdiH
prs	BW25113_RS06285	1256384	1257331	ribose-phosphate diphosphokinase
yoaB	BW25113_RS09465	1887624	1887968	RutC family protein YoaB
fabB	BW25113_RS12130	2433864	2435084	3-oxoacyl-[acyl carrier protein] synthase 1
cspD	BW25113_RS04570	917822	918046	DNA replication inhibitor CspD
gmd	BW25113_RS10720	2120674	2121795	GDP-mannose 4,6-dehydratase
rbfA	BW25113_RS16420	3306136	3306537	30S ribosome binding factor
ada	BW25113_RS11550	2302820	2303884	DNA-binding transcriptional dual regulator / DNA repair protein Ada
ydfA	BW25113_RS08230	1642765	1642920	Qin prophage; DUF1391 domain-containing protein YdfA
ccmF	BW25113_RS11460	2286440	2288383	holocytochrome <I>c</I> synthase CcmF component
ulaB	BW25113_RS21790	4411210	4411515	L-ascorbate specific PTS enzyme IIB component
relB	BW25113_RS08205	1639890	1640129	Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB
yjeV	BW25113_RS25810	4382709	4382762	uncharacterized protein YjeV
yjiK	BW25113_RS22565	4552560	4553420	PF06977 family protein YjiK
sbcD	BW25113_RS02060	411206	412408	ATP-dependent structure-specific DNA nuclease - SbcD subunit
chpB	BW25113_RS21950	4438509	4438859	endoribonuclease toxin ChpB
accC	BW25113_RS16885	3399276	3400625	biotin carboxylase
yeeR	BW25113_RS10450	2068260	2069792	CP4-44 prophage; inner membrane protein YeeR
clpS	BW25113_RS04575	918369	918689	specificity factor for ClpA-ClpP chaperone-protease complex
ydaY	BW25113_RS07160	1419878	1420237	Rac prophage; putative uncharacterized protein YdaY
metK	BW25113_RS15280	3080065	3081219	methionine adenosyltransferase
macB	BW25113_RS04565	915803	917749	ABC-type tripartite efflux pump ATP binding/membrane subunit
dmsC	BW25113_RS04650	939489	940352	dimethyl sulfoxide reductase subunit C
tauA	BW25113_RS01885	380688	381650	taurine ABC transporter periplasmic binding protein
ydhY	BW25113_RS08760	1748108	1748734	putative 4Fe-4S ferredoxin-like protein YdhY
yaiL	BW25113_RS01830	372228	372767	DUF2058 domain-containing protein YaiL
argG	BW25113_RS16445	3311996	3313339	argininosuccinate synthetase
pflA	BW25113_RS04680	945796	946536	pyruvate formate-lyase activating enzyme
rep	BW25113_RS19615	3954037	3956058	ATP-dependent DNA helicase Rep
fbaB	BW25113_RS10940	2170991	2172043	fructose-bisphosphate aldolase class I
RS10000	BW25113_RS10000	1985523	1985598	tRNA-Gly
yhfY	BW25113_RS17525	3504419	3504781	PRD domain-containing protein YhfY
pitA	BW25113_RS18090	3631002	3632501	metal phosphate:H<sup>+</sup> symporter PitA
hisG	BW25113_RS10550	2083673	2084572	ATP phosphoribosyltransferase
yfaZ	BW25113_RS11755	2357212	2357754	putative porin YfaZ
RS06980	BW25113_RS06980	1390333	1391349	IS5-like element IS5 family transposase
ypfG	BW25113_RS12855	2575093	2576136	DUF1176 domain-containing protein YpfG
bfd	BW25113_RS17295	3460156	3460350	bacterioferritin-associated ferredoxin
lepA	BW25113_RS13405	2698684	2700483	30S ribosomal subunit biogenesis factor LepA
thiL	BW25113_RS02160	431090	432067	thiamine monophosphate kinase
ltaE	BW25113_RS04515	903749	904750	low-specificity L-threonine aldolase
fliJ	BW25113_RS10155	2011427	2011870	flagellar biosynthesis protein FliJ
yphC	BW25113_RS13270	2668059	2669153	putative zinc-binding dehydrogenase YphC
thiP	BW25113_RS00330	69398	71008	thiamine ABC transporter membrane subunit
yecT	BW25113_RS09840	1956229	1956717	protein YecT
fetB	BW25113_RS02535	512039	512818	putative iron ABC exporter membrane subunit FetB
yceF	BW25113_RS05660	1141467	1142051	m<sup>7</sup>GTP pyrophosphatase
grxC	BW25113_RS18750	3777551	3777802	reduced glutaredoxin 3
rfe	BW25113_RS19650	3961276	3962379	UDP-<i>N</i>-acetylglucosamine&mdash;undecaprenyl-phosphate <i>N</i>-acetylglucosaminephosphotransferase
yeeT	BW25113_RS10460	2070298	2070519	CP4-44 prophage; DUF987 domain-containing protein YeeT
ypdK	BW25113_RS25205	2490400	2490471	uncharacterized membrane protein YpdK
agaS	BW25113_RS16260	3275335	3276489	putative galactosamine-6-phosphate deaminase/isomerase
ycaR	BW25113_RS04755	966129	966311	PF03966 family protein YcaR
dgcM	BW25113_RS07040	1400820	1402052	diguanylate cyclase DgcM
yhdU	BW25113_RS16920	3405980	3406159	DUF2556 domain-containing protein YhdU
abgT	BW25113_RS07005	1394504	1396030	<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter
yhaV	BW25113_RS16230	3270696	3271160	ribosome-dependent mRNA interferase toxin YhaV
RS03855	BW25113_RS03855	776010	776085	tRNA-Lys
pxpC	BW25113_RS03685	739699	740631	5-oxoprolinase component C
dld	BW25113_RS11130	2215664	2217379	quinone-dependent D-lactate dehydrogenase
asnC	BW25113_RS19455	3919905	3920363	DNA-binding transcriptional dual regulator AsnC
yqgC	BW25113_RS25875	3079546	3079761	protein YqgC
yncH	BW25113_RS07640	1521197	1521409	DUF5445 domain-containing protein YncH
ccmE	BW25113_RS11465	2288380	2288859	periplasmic heme chaperone
yjiH	BW25113_RS22550	4549814	4550497	uncharacterized protein YjiH
RS01535	BW25113_RS01535	310068	310943	inverse autotransporter beta domain-containing protein
ompC	BW25113_RS11560	2305125	2306228	outer membrane porin C
nuoB	BW25113_RS11945	2397430	2398092	NADH:quinone oxidoreductase subunit B
rluB	BW25113_RS06610	1321109	1321984	23S rRNA pseudouridine<sup>2605</sup> synthase
rbsA	BW25113_RS19485	3927138	3928643	ribose ABC transporter ATP binding subunit
vsr	BW25113_RS10240	2023929	2024399	DNA mismatch endonuclease Vsr
hpt	BW25113_RS00625	137918	138454	hypoxanthine phosphoribosyltransferase
prpC	BW25113_RS01710	345723	346892	2-methylcitrate synthase
argK	BW25113_RS15165	3056346	3057341	methylmalonyl-CoA mutase-interacting GTPase YgfD
flgH	BW25113_RS05620	1131020	1131718	flagellar L-ring protein
yjhR	BW25113_RS22400	4524608	4525848	helicase YjhR
yggF	BW25113_RS15225	3068576	3069541	fructose 1,6-bisphosphatase YggF
panC	BW25113_RS00665	144431	145282	pantothenate synthetase
gpt	BW25113_RS01205	252464	252922	xanthine-guanine phsophoribosyltransferase
fadI	BW25113_RS12220	2452638	2453948	3-ketoacyl-CoA thiolase FadI
alsB	BW25113_RS21235	4300924	4301859	D-allose ABC transporter periplasmic binding protein
nsrR	BW25113_RS21710	4396007	4396432	DNA-binding transcriptional regulator NsrR
ftsZ	BW25113_RS00475	101792	102943	cell division protein FtsZ
yfdY	BW25113_RS12405	2488529	2488771	DUF2545 domain-containing protein YfdY
agaR	BW25113_RS16235	3271215	3272024	DNA-binding transcriptional repressor AgaR
ygcN	BW25113_RS14390	2886016	2887287	putative oxidoreductase with FAD/NAD(P)-binding domain
blc	BW25113_RS21565	4367006	4367539	outer membrane lipocalin protein
nanM	BW25113_RS22410	4527476	4528582	<i>N</i>-acetylneuraminate mutarotase
hisL	BW25113_RS24020	2083477	2083527	his operon leader peptide
yahD	BW25113_RS01640	330991	331596	ankyrin repeat-containing protein YahD
nrfB	BW25113_RS21140	4279173	4279739	periplasmic nitrite reductase penta-heme <i>c</i>-type cytochrome
nirC	BW25113_RS17455	3490362	3491168	nitrite transporter NirC
purR	BW25113_RS08680	1732101	1733126	DNA-binding transcriptional repressor PurR
rsmB	BW25113_RS17050	3428566	3429855	16S rRNA m<sup>5</sup>C967 methyltransferase
ydjL	BW25113_RS09295	1854513	1855589	putative zinc-binding dehydrogenase YdjL
metR	BW25113_RS19875	4005223	4006176	DNA-binding transcriptional dual regulator MetR
ymfK	BW25113_RS05945	1197715	1198389	e14 prophage; putative repressor protein YmfK
dsrB	BW25113_RS10205	2018116	2018304	protein DsrB
dcuS	BW25113_RS21430	4339848	4341479	sensor histidine kinase DcuS
nuoF	BW25113_RS11930	2393697	2395034	NADH:quinone oxidoreductase subunit F
chiQ	BW25113_RS03515	705246	705572	lipoprotein ChiQ
mltF	BW25113_RS13335	2689160	2690716	membrane-bound lytic murein transglycosylase F
lacY	BW25113_RS01760	357637	358890	lactose permease
yciI	BW25113_RS06525	1304826	1305122	protein YciI
dicA	BW25113_RS08225	1642191	1642598	DNA-binding transcriptional dual regulator DicA
sodB	BW25113_RS08665	1729635	1730216	superoxide dismutase (Fe)
ecpE	BW25113_RS01485	300206	300916	putative fimbrial chaperone EcpE
recG	BW25113_RS18960	3818570	3820651	ATP-dependent DNA helicase RecG
manX	BW25113_RS09510	1896305	1897276	mannose-specific PTS enzyme IIAB component
mdh	BW25113_RS16775	3376689	3377627	malate dehydrogenase
proC	BW25113_RS02000	400291	401100	pyrroline-5-carboxylate reductase
gfcA	BW25113_RS05125	1044895	1045200	threonine-rich inner membrane protein GfcA
yfaV	BW25113_RS11735	2352342	2353631	putative transporter YfaV
ybfF	BW25113_RS03545	707494	708258	esterase
yadW	BW25113_RS25410	173039	173104	protein YadW
mukB	BW25113_RS04790	971782	976242	chromosome partitioning protein MukB
paoC	BW25113_RS01460	294447	296645	aldehyde dehydrogenase, molybdenum cofactor-binding subunit
pfkB	BW25113_RS09015	1800627	1801556	6-phosphofructokinase 2
astD	BW25113_RS09135	1822513	1823991	aldehyde dehydrogenase
bcsE	BW25113_RS18330	3689818	3691389	c-di-GMP-binding protein BcsE
fliR	BW25113_RS10195	2016374	2017159	flagellar biosynthesis protein FliR
acs	BW25113_RS21130	4275341	4277299	acetyl-CoA synthetase (AMP-forming)
chbR	BW25113_RS09075	1812862	1813704	ChbR
rpsQ	BW25113_RS17165	3441673	3441927	30S ribosomal protein S17
RS05345	BW25113_RS05345	1089731	1090893	IS3-like element IS3 family transposase
ypjJ	BW25113_RS24195	2770236	2770436	CP4-57 prophage; DUF987 domain-containing protein YpjJ
ypdE	BW25113_RS12440	2497989	2499026	aminopeptidase YpdE
yagN	BW25113_RS01435	290850	291290	CP4-6 prophage; protein YagN
lrp	BW25113_RS04615	928051	928545	DNA-binding transcriptional dual regulator Lrp
yfdX	BW25113_RS12390	2487246	2487881	protein YfdX
fau	BW25113_RS15135	3049546	3050148	5-formyltetrahydrofolate cyclo-ligase
RS05975	BW25113_RS05975	1201187	1201594	phage portal protein
rpsJ	BW25113_RS17215	3446318	3446629	30S ribosomal protein S10
yggN	BW25113_RS15360	3094263	3094982	DUF2884 domain-containing protein YggN
mtlD	BW25113_RS18695	3767784	3768932	mannitol-1-phosphate 5-dehydrogenase
idlP	BW25113_RS25840	4546730	4546813	<i>iraD</i> leader peptide
dmsA	BW25113_RS04640	936415	938859	dimethyl sulfoxide reductase subunit A
dnaA	BW25113_RS19245	3875686	3877089	chromosomal replication initiator protein DnaA
hiuH	BW25113_RS10290	2032437	2032850	hydroxyisourate hydrolase / transthyretin-related protein
tcyJ	BW25113_RS10050	1993066	1993866	cystine ABC transporter periplasmic binding protein
paoA	BW25113_RS01470	297595	298284	aldehyde dehydrogenase, Fe-S subunit
gsiB	BW25113_RS04310	864867	866405	glutathione ABC transporter periplasmic binding protein
paoB	BW25113_RS01465	296642	297598	aldehyde dehydrogenase, FAD-binding Fe-S subunit
ldcC	BW25113_RS00930	206166	208307	lysine decarboxylase 2
nimR	BW25113_RS09365	1869012	1869833	DNA-binding transcriptional repressor NimR
gdhA	BW25113_RS09210	1836628	1837971	glutamate dehydrogenase
RS11425	BW25113_RS11425	2279690	2279766	tRNA-Pro
csgC	BW25113_RS05430	1100417	1100749	curli assembly protein CsgC
treB	BW25113_RS22020	4454576	4455997	trehalose-specific PTS enzyme IIBC component
nfrA	BW25113_RS02945	583438	586410	exopolysaccharide secretion system outer membrane protein NfrA
ygiC	BW25113_RS15765	3173780	3174940	peptide&mdash;spermidine ligase YgiC
cmoB	BW25113_RS09810	1947699	1948670	tRNA U34 carboxymethyltransferase
plaP	BW25113_RS10525	2079185	2080543	putrescine:H+ symporter PlaP
ychJ	BW25113_RS06430	1284130	1284588	NTF2-like domain-containing protein YchJ
RS09990	BW25113_RS09990	1985296	1985382	tRNA-Leu
ybeD	BW25113_RS03280	657835	658098	DUF493 domain-containing protein YbeD
ydiO	BW25113_RS08865	1771453	1772604	putative acyl-CoA dehydrogenase YdiO
purM	BW25113_RS13035	2614556	2615593	phosphoribosylformylglycinamide cyclo-ligase
yqgA	BW25113_RS15405	3102912	3103619	DUF554 domain-containing protein YqgA
nusG	BW25113_RS20660	4167671	4168216	transcription termination/antitermination factor NusG
mepS	BW25113_RS11355	2263458	2264024	peptidoglycan endopeptidase/peptidoglycan L,D-carboxypeptidase
yibN	BW25113_RS18755	3777944	3778375	putative sulfurtransferase YibN
pspE	BW25113_RS06855	1363946	1364260	thiosulfate sulfurtransferase PspE
oxyR	BW25113_RS20555	4148418	4149335	DNA-binding transcriptional dual regulator OxyR
allB	BW25113_RS02630	534603	535964	allantoinase
gsiA	BW25113_RS04305	862976	864847	glutathione ABC transporter ATP binding subunit GsiA
hrpA	BW25113_RS07410	1477318	1481220	ATP-dependent 3'&rarr;5' RNA helicase HrpA
dcuB	BW25113_RS21415	4337221	4338561	anaerobic C4-dicarboxylate transporter DcuB
yadM	BW25113_RS00690	148730	149299	putative fimbrial protein YadM
casA	BW25113_RS14360	2875989	2877497	type I-E CRISPR system Cascade subunit CasA
ydeJ	BW25113_RS08060	1619030	1619548	PF02464 family protein YdeJ
yjiN	BW25113_RS22585	4555783	4557063	DUF445 domain-containing protein
yfjY	BW25113_RS13780	2769745	2770227	CP4-57 prophage; RadC-like JAB domain-containing protein YfjY
